walker	cdf_0	cdf_1	log_l	log_p
2	-1.614485903e+01	5.435856131e+00	-1.139400239e+01	-7.377758908e+00
3	1.482392610e+00	-1.072940860e+01	1.824684410e+00	-7.377758908e+00
4	-1.382014902e+01	-1.281197416e+00	-1.139400239e+01	-7.377758908e+00
5	1.619529856e+01	-5.573196348e+00	-8.324278167e+00	-7.377758908e+00
6	1.526531751e+01	-1.360533787e+01	-8.324278167e+00	-7.377758908e+00
7	-3.936072634e+00	1.958070981e+01	-1.427768814e+01	-7.377758908e+00
8	7.227586056e+00	1.587895208e+01	-8.324278167e+00	-7.377758908e+00
9	7.442024558e+00	1.936055650e+01	-8.324278167e+00	-7.377758908e+00
10	6.183732965e-02	1.587878489e+01	-8.380981516e+00	-7.377758908e+00
11	-1.202575800e+00	1.638766641e+00	-2.186544304e+00	-7.377758908e+00
12	-1.743060469e+01	3.799551992e+00	-1.139400239e+01	-7.377758908e+00
13	-7.129606234e-01	-2.430424228e+00	-1.260560399e+00	-7.377758908e+00
14	9.951383616e+00	6.277834321e+00	-8.324278167e+00	-7.377758908e+00
15	2.384017553e+00	-1.286556748e+01	3.115623412e+00	-7.377758908e+00
16	-8.206030539e+00	1.259376762e+01	-1.180066609e+01	-7.377758908e+00
17	7.239742960e+00	-4.551547925e+00	-8.323966311e+00	-7.377758908e+00
18	1.627955648e+01	1.939210477e+01	-8.324278167e+00	-7.377758908e+00
19	1.561179878e+00	-3.039635312e+00	2.044205110e+00	-7.377758908e+00
20	-1.366111636e-01	9.060970824e+00	-8.724135631e+00	-7.377758908e+00
21	-1.490089913e+00	2.208018825e-01	-3.261360461e+00	-7.377758908e+00
22	1.444819824e+01	-8.937651095e+00	-8.324278167e+00	-7.377758908e+00
23	-6.088328888e+00	-7.001093105e+00	-1.139400238e+01	-7.377758908e+00
24	4.556041769e-01	-1.891269403e+00	1.902204222e+00	-7.377758908e+00
25	4.800427531e+00	-2.113457988e+00	-8.300350036e+00	-7.377758908e+00
26	5.817644152e+00	-1.554463901e+01	5.142672645e+00	-7.377758908e+00
27	1.912904622e+01	-1.475885600e+01	-8.324278167e+00	-7.377758908e+00
28	1.510930426e+01	1.361484410e+01	-8.324278167e+00	-7.377758908e+00
